xxx	0	0	0.0	0	0	0	0	0
HornSchunck	optical	0	0.0	2.21	2	4	0	0
measurement	of	0	0.0	2.21	4	4	0	0
Gong	Xiaoliang	0	0.0	1.36	2	2	0	0
xxx	0	0	0.0	0	0	0	0	0
a	School	0	0.0	0.96	4	2	0	0
b	Institute	0	0.0	0.97	4	2	0	0
Received	16	1	0.0	1.0	2	1	0	0
$$$	KEYWORDS	0	0.0	0.89	5	2	0	0
Deformation	measurements;	0	0.0	0.89	2	3	0	0
Abstract	Current	12	0.0	0.93	6	2	0	0
1.	Introduction	0	0.0	1.0	1	2	0	1
For	the	2	0.0	1.0	2	4	0	0
results	in	8	0.0	0.99	4	4	0	0
xxx	0	0	0.0	0	0	0	0	0
*	Corresponding	1	0.0	0.89	3	2	0	0
Production	and	0	1.0	0.89	2	4	0	0
Chinese	Journal	0	0.0	0.89	2	2	0	0
Chinese	Society	0	0.0	1.33	2	2	0	0
&	Beihang	0	0.0	1.33	3	2	0	0
Chinese	Journal	0	0.0	1.55	2	2	0	0
cja@buaa.edu.cn	www.sciencedirect.com	0	0.0	0.89	3	4	0	0
http://dx.doi.org/10.1016/j.cja.2015.07.005	1000-9361	1	0.0	0.89	3	3	0	0
measured	object.	0	0.0	1.0	4	4	0	0
3	or	0	0.0	0.94	1	4	0	0
4	are	35	0.0	0.99	1	4	0	0
same	velocity,	8	0.0	0.99	4	3	0	0
2.	HornSchunck	0	0.0	1.0	1	2	0	1
Since	Horn	0	0.0	1.0	2	2	0	0
17	,	9	0.0	0.99	1	3	0	0
I	1	0	0.0	0.95	1	1	0	0
By	performing	0	0.0	1.0	2	4	0	0
2	,	2	0.0	0.96	1	3	0	0
I	X	0	0.0	0.9	1	1	0	0
Eq.	(2)	0	0.0	1.0	2	3	0	0
17	Since	3	0.0	0.99	1	2	0	0
E	D	0	0.0	0.93	1	1	0	0
$$$	Z	0	0.0	1.0	5	1	0	0
X	uI	0	0.0	0.85	1	4	0	0
Second,	HS	1	0.0	1.0	2	2	0	0
E	S	0	0.0	0.93	1	1	0	0
$$$	Z	0	0.0	1.0	5	1	0	0
X	uU	0	0.0	0.79	1	4	0	0
where	E	0	0.0	1.0	4	1	0	0
D	is	0	0.0	0.95	1	4	0	0
S	is	2	0.0	0.99	1	4	0	0
1306	X.	0	0.0	1.0	4	1	0	0
Here,	u	3	0.0	0.98	2	4	0	0
EU;	V	0	0.0	0.91	2	1	0	0
Here,	b	1	0.0	1.0	2	4	0	0
2.1.	Improvements	0	0.0	1.0	1	2	0	1
As	proved	3	0.0	0.99	2	4	0	0
E	D	0	0.0	0.91	1	1	0	0
$$$	Z	0	0.0	1.0	5	1	0	0
X	uI	0	0.0	0.88	1	4	0	0
$$$	6	0	0.0	1.0	5	1	0	0
This	new	4	0.0	0.99	2	4	0	0
the	quadratic	5	0.0	0.98	4	4	0	0
mation	of	0	0.0	1.0	4	4	0	0
1	norm	0	0.0	0.88	1	4	0	0
2	14	0	0.0	0.91	1	1	0	0
2	2	0	0.0	0.82	1	1	0	0
2	p	1	0.0	0.97	1	4	0	0
The	third	6	0.0	0.99	2	4	0	0
dure:	(A)	5	0.0	1.0	3	1	0	0
stretched	along	0	0.0	1.0	4	4	0	0
27	Because	2	0.0	0.98	4	2	0	0
W	14	1	0.0	0.89	1	1	0	0
where	R	0	0.0	1.0	4	1	0	0
X	X;	0	0.0	0.88	1	2	0	1
X	a	2	0.0	0.94	1	4	0	0
and	G~	0	0.0	0.95	4	2	0	0
domain	~	0	0.0	1.0	4	3	0	0
V	.	3	0.0	0.98	1	3	0	0
Finally,	if	4	0.0	0.98	2	4	0	0
2.2.	Improvements	0	0.0	1.0	1	2	0	1
Apart	from	11	0.0	0.99	2	4	0	0
Pyramidal	images	2	0.0	0.99	2	4	0	0
Computations	started	4	0.0	1.0	2	4	0	0
HornSchunck	optical	0	0.0	1.0	2	4	0	0
this	fill-in	5	0.0	0.99	4	3	0	0
3.	Validation	0	0.0	1.0	1	2	0	1
3.1.	LK	0	0.0	1.0	1	2	0	1
To	validate	4	0.0	0.98	2	4	0	0
EU;	V	0	0.0	1.0	2	1	0	0
$$$	X;Y2w	0	0.0	0.65	5	2	0	0
I	x	0	0.0	0.86	1	1	0	0
The	minimization	3	0.0	1.0	2	4	0	0
3.2.	Spinning	0	0.0	1.0	1	2	0	1
To	compare	2	0.0	0.99	2	4	0	0
A	textured	2	0.0	1.0	1	4	0	0
according	to	0	0.0	1.0	4	4	0	0
X	14	0	0.0	0.91	1	1	0	0
I	14	0	0.0	0.91	1	1	0	0
V	14	8	0.0	0.99	1	1	0	0
EE	14	0	0.0	0.9	2	1	0	0
To	further	10	0.0	0.99	2	4	0	0
AE	14	1	0.0	0.91	2	1	0	0
U	2	0	0.0	0.8	1	1	0	0
$$$	q	0	0.0	1.0	5	4	0	0
$$$	0	0	0.0	1.0	5	4	0	0
B	@	0	0.0	1.0	1	3	0	0
$$$	1	0	0.0	1.0	5	1	0	0
C	A	0	0.0	1.0	1	1	0	0
Fig.	1	0	0.0	0.94	0	1	0	0
1308	X.	0	0.0	1.0	4	1	0	0
It	is	12	0.0	1.0	2	4	0	0
3.3.	Translating	0	0.0	1.0	1	2	0	1
The	second	1	0.0	1.0	2	4	0	0
towards	the	16	0.0	0.99	4	4	0	0
Fig.	2	0	0.0	0.94	0	1	0	0
Fig.	3	0	0.0	0.94	0	1	0	0
HornSchunck	optical	0	0.0	1.0	2	4	0	0
then	went	5	0.0	0.99	4	4	0	0
4.	Experimental	0	0.0	1.0	1	2	0	1
Wind	tunnel	7	0.0	0.99	2	4	0	0
axes	was	0	0.0	1.0	4	4	0	0
10	However,	9	0.0	0.99	1	2	0	0
5.	Experimental	0	0.0	1.0	1	2	0	1
5.1.	Optical	0	0.0	1.0	1	2	0	1
Because	the	1	0.0	1.0	2	4	0	0
Fig.	4	0	0.0	0.94	0	1	0	0
Fig.	5	0	0.0	0.94	0	1	0	0
1310	X.	0	0.0	1.0	4	1	0	0
than	6	7	0.0	0.99	4	1	0	0
field	estimating	3	0.0	0.99	4	4	0	0
Two	images	22	0.0	0.99	2	4	0	0
[A4.47,	1.51]	0	0.0	1.0	3	4	0	0
2	2	0	0.0	0.94	1	1	0	0
Fig.	6	0	0.0	0.94	0	1	0	0
Fig.	7	0	0.0	0.94	0	1	0	0
Fig.	8	0	0.0	0.94	0	1	0	0
HornSchunck	optical	0	0.0	1.0	2	4	0	0
5.2.	Airfoil	0	0.0	1.0	1	2	0	1
After	camera	9	0.0	0.99	2	4	0	0
we	could	3	0.0	1.0	4	4	0	0
(see	Fig.	13	0.0	0.99	3	0	0	0
xxx	0	0	0.0	0	0	0	0	0
Fig.	9	0	0.0	0.94	0	1	0	0
1	=	1	0.0	0.9	1	3	0	0
1312	X.	0	0.0	1.0	4	1	0	0
provided	the	14	0.0	0.99	4	4	0	0
around	0.38c	15	0.0	1.0	4	4	0	0
Fig.	10	0	0.0	0.92	0	1	0	0
HornSchunck	optical	0	0.0	1.0	2	4	0	0
value.	A	1	0.0	1.0	4	1	0	0
6.	Conclusions	0	0.0	1.0	1	2	0	1
(1)	An	16	0.0	1.0	3	2	0	0
Therefore,	it	1	0.0	1.0	2	4	0	0
optical	flow	1	0.0	1.0	4	4	0	0
$$$	References	0	0.0	1.0	5	6	0	0
xxx	0	0	0.0	0	0	0	0	0
1.	Brooks	20	0.0	0.89	1	2	0	0
Fig.	11	0	0.0	0.94	0	1	0	0
1314	X.	0	0.0	1.0	4	1	0	0
xxx	0	0	0.0	0	0	0	0	0
12.	Schmidt	21	0.0	0.89	1	2	0	0
27.	Xiao	13	0.0	0.89	4	2	0	0
Gong	Xiaoliang	3	0.0	0.89	2	2	0	0
Stephan	Bansmer	4	0.0	0.89	2	2	0	0
HornSchunck	optical	0	0.0	1.0	2	4	0	0

