x	x	0	0	0	0
x	x	0	0	0	0
HornSchunck	optical	2.21	189.108	0	0
measurement	of	2.21	212.977	0	0
Gong	Xiaoliang	1.36	254.634	0	0
x	x	0	0	0	0
a	School	0.96	292.117	0	0
b	Institute	0.97	303.059	0	0
Received	16	1.0	331.876	0	0
$$$	KEYWORDS	0.89	384.903	0	0
Deformation	measurements;	0.89	401.073	0	0
Abstract	Current	0.94	387.002	0	0
O	2015	0.89	526.929	0	0
1.	Introduction	1.0	577.434	0	0
For	the	1.0	602.018	0	0
results	in	1.0	577.129	0	0
1	was	0.99	663.002	0	0
2	Accurate	0.97	706.826	0	0
x	x	0	0	0	0
*	Corresponding	0.89	660.103	0	0
Production	and	0.89	719.042	0	0
Chinese	Journal	0.89	33.8733	0	0
Chinese	Society	1.33	64.9265	0	0
&	Beihang	1.33	78.8733	0	0
Chinese	Journal	1.55	99.6926	0	0
cja@buaa.edu.cn	www.sciencedirect.com	0.89	124.128	0	0
http://dx.doi.org/10.1016/j.cja.2015.07.005	1000-9361	0.89	738.963	0	0
measured	object.	1.0	55.2714	0	0
3	or	0.94	53.4404	0	0
4	are	0.99	64.3821	0	0
5	or	0.91	97.264	0	0
6	serve	0.99	97.264	0	0
7	Another	0.99	141.088	0	0
8	MFPI	0.99	195.91	0	0
9	The	0.99	261.617	0	0
10	Image	0.96	327.38	0	0
11	It	0.98	338.322	0	0
12	and	0.97	360.262	0	0
13	laser	0.93	371.204	0	0
14	and	0.91	382.202	0	0
15	In	0.99	382.202	0	0
16	the	0.99	579.437	0	0
17	and	0.96	634.259	0	0
18	Both	0.99	645.201	0	0
same	velocity,	1.0	55.2677	0	0
19	Recently,	0.98	108.206	0	0
20	The	0.99	141.088	0	0
2.	HornSchunck	1.0	221.175	0	0
Since	Horn	1.0	245.758	0	0
17	,	0.99	254.87	0	0
21	In	0.99	287.752	0	0
1	X;	0.98	337.011	0	0
2	X	0.99	358.951	0	0
I	1	0.95	427.684	0	0
By	performing	1.0	444.071	0	0
2	,	0.98	447.676	0	0
X	;	0.88	469.651	0	0
Y	;	0.88	469.651	0	0
t	,	0.96	469.651	0	0
I	X	0.9	494.525	0	0
Eq.	(2)	1.0	510.912	0	0
17	Since	0.99	509.081	0	0
E	D	0.94	588.748	0	0
X	uI	0.85	597.506	0	0
Second,	HS	1.0	610.862	0	0
E	S	0.94	655.76	0	0
X	uU	0.79	664.574	0	0
where	E	1.0	679.97	0	0
D	is	0.95	683.639	0	0
S	is	0.99	683.639	0	0
1306	X.	1.0	34.1249	0	0
Here,	u	1.0	54.9312	0	0
2	14	0.88	76.394	0	0
2	.	0.98	76.394	0	0
EU;	V	0.91	114.795	0	0
Here,	b	1.0	131.183	0	0
2.1.	Improvements	1.0	175.344	0	0
As	proved	1.0	199.952	0	0
22	and	0.97	230.946	0	0
E	D	0.93	264.692	0	0
X	uI	0.88	273.506	0	0
$$$	6	1.0	281.75	0	0
This	new	1.0	300.298	0	0
23	the	0.99	364.174	0	0
1	norm,	0.88	409.408	0	0
2	14	0.97	409.862	0	0
1	norm	0.97	421.37	0	0
1	norm	0.96	444.274	0	0
24,25	In	0.97	454.826	0	0
1	norm	0.88	467.688	0	0
2	14	0.91	468.142	0	0
2	2	0.82	468.822	0	0
2	p	0.98	468.822	0	0
24	The	0.99	489.239	0	0
1	norm,	0.98	534.416	0	0
26	a	0.99	555.966	0	0
27	the	0.99	599.79	0	0
stretched	along	1.0	55.2667	0	0
27	Because	0.99	53.4404	0	0
$$$	27	0.66	97.264	0	0
W	14	0.89	121.713	0	0
where	R	1.0	143.769	0	0
X	X;	0.88	146.004	0	0
X	a	0.97	146.004	0	0
X	,	0.88	156.946	0	0
I	I;	0.88	158.35	0	0
I	a	0.97	158.35	0	0
I	,	0.91	169.349	0	0
V	~	0.91	181.21	0	0
V	a	0.97	181.21	0	0
V	.	0.97	193.626	0	0
27	is	0.99	199.708	0	0
$$$	28	0.66	243.532	0	0
Finally,	if	1.0	257.778	0	0
27,28	However,	0.98	266.889	0	0
29	Median	0.99	299.771	0	0
$$$	30	0.66	332.653	0	0
