0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
Shanxi	1	0
Medical	1	0
University	1	0
56	1	0
Xinjian	1	0
South	1	0
Road	1	0
Taiyuan	1	0
030001	1	0
China	1	0
0	0	0
Indiana	1	0
University	1	0
Bloomington	1	0
IN	1	0
USA	1	0
0	0	0
Yonsei	1	0
University	1	0
Seoul	1	0
South	1	0
Korea	1	0
0	0	0
Chinese	1	0
Academy	1	0
of	1	0
Sciences	1	0
Beijing	1	0
China	1	0
0	0	0
Wuhan	1	0
University	1	0
Wuhan	1	0
China	1	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
Acids	1	0
Research	1	0
Molecular	1	0
Biology	1	0
Database	1	0
Collection	1	0
(available	1	0
online)	1	0
which	1	0
includes	1	0
1512	1	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
